Reviewer,Review,Review Score,Review Like,Review date
CineMuseFilms,"Clichéd plot line that annoyingly produces a thoroughly enjoyable film. Surely they are not still making films like this. Do today's audiences really want pre-feminist stories about wise old men that step in to prop up gorgeous and successful young career women whose feminine foibles are not only career-limiting but funny too? Casting the wonderful Anne Hathaway alongside the venerable Robert De Niro is the only way a director can get away with such a vacuous and demeaning narrative, and annoyingly produce such a thoroughly enjoyable film.

This charming tale rests on an age and gender inversion where a bored 70 year-old former top- rung executive applies for an internship in a fast-growing online fashion company, a narrative with playful echoes of The Devil Wears Prada (2006). De Niro gets the gig, but only because of company policy against age discrimination; when he is assigned to assist CEO Hathaway some beautiful chemistry emerges that crosses age boundaries.

There are many charming, funny, and touching moments as the unflappable ""senior intern"" settles into the chaotic youth-driven business space. If you are not amused by such ageist insights, much of the movie will be lost on you. The creatively brilliant CEO who admits to ""not being good with old people"" is disorganised and at risk of losing everything unless she acquires some strategic skills, which of course women don't have and men are loaded with. The old versus new culture clash is one long cliché expressed through baby-boomer work-ethic mini sermons offering fixes for the hipster's free-for-all work-styles. Its all mixed together with his cute efforts to learn Facebook, her adorably feminine bouts of self-doubt, her stay-at-home husband doing wife work, and other random themes that don't cohere sufficiently to elevate the film's achievements. But most De Niro and Hathaway fans are unlikely to be bothered by the clichés of this ""behind every successful woman is a wise man"" fable and find it an entertainingly likable film.", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",11 February 2016
harthtrah,"Simple adn fun Very fun and quiet movie to watch, very relaxing and brings great messages. Robert De Niro and Anne Hathaway obviously enhance the film with their incredible acting. Ben Wittaker, a 70-year-old widower and is tired of the everyday life of retirement, and, seeing a job offer for senior interns on a fashion website, decides to accept it. The company run by Jules Ostin, an empowered woman who managed to create a large successful company on her own who, in just 18 months already has more than 200 employees, is tasked with hiring a CEO to help the company, even if the company has already founded it alone and don't need anyone's help, we continue to see as a ""young woman"" successful businesswoman very linked to the technological and modern world and a man well alienated from this they manage to communicate and create a great bond of friendship. Fantastic film to see as a family or alone to clear your head.
1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",20 April 2020
corazontvc,"What movies used to be A thoroughly enjoyable night at the movies is what you will witness. Hard to believe that the actor who played the semi-psychotic Travis Bickle in 'Taxi Driver' is the same one who plays a wizened intern here. DeNiro shows his talents in what he doesn't do, he plays a 'less is more' type of nuance to his character and it works.

This movie also speaks to generations. Whether right or wrong, the movie seems to be siding on the superiority of generations past. People of a 'certain age' as the film divulges, are of little practical use. We are exposed to the minutia of humiliation as people repeatedly ask if they can hear them or remember what they've just said, because of course they're old. As the film goes on, perhaps the ways of old were not complete nonsense after all. There is a solidity to all of the people on screen which ultimately comes down to people who no one will ever know of. The details got taken care of so the actors could just act. Not much to do with the movie I guess, but I know what these anons do.

Worth seeing.", 2/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 December 2015
Giacomo_De_Bello,"7/10 Does it stray far away from a by the numbers mid-budget dromedy? No. Does it bring original and inventive filmaking and style to the table? No. Does it look like I've seen before some of the scenes and even seen countless parodies of them? Yes. Good now that we have that clear I can open up and tell you how delightful and heartfelt this film is.

And I will start by saying what I thought as soon as I started liking the film, which was the same as what I thought throughout and what I think is what makes the movie win: it is simplistic, but it dam well knows it is and has fun with it. There are just so many movies that try to be insightful, original or serious and end up shoving down your throat a version of facts that is pathetic to itself and its tone. Yet ""The Intern"" makes it perfectly clear from frame one that it know it is simplistic and by doing so you go along with it so much more happily and end up having the good time the movie deserves. Moreover being simplistic doesn't exclude the fact that you can be reflective, dramatic or interesting, obviously not to ""American Beauty"" levels, but in a pleasant and welcoming yet not to deep way.

It is so fantastic to see Robert De Niro actually commit to a performance 110% and his commitment truly delivers. This is in my opinion a great performance, he adds so much to his character and manages to make him totally believable and present on screen. You really forget it's De Niro. Hathaway isn't any less committed and whilst she isn't as good as her co-star she most definitely has her moments and contributes to the chemistry they have together. On a side note this film is also shot remarkably well for the locations and situations it offers itself to shoot.

Peronally I always felt the movie to be hear felt. It has characters that it treats with respect and interest, it subverts some way too common genre clichés and ultimately offers laughs and drama genuinely for the most part and I was delighted to be carried away and have fun, other than take the occasion to lightly reflect on the more serious aspects of the film.

Now as much as it avoids some clichés it does fall into just a couple of gigantic ones that really undermine a part of the movie and take away some the joy from it. There are useless but fun characters and there is a very standard and unremarkable style that often lessens the importance of many events that still manage to resonate because of good writing and characters, but don't really leave a print on you.

I had fun and I would gladly recommend the film if you want to have a very light watch at the theater and not feel stupid or insulted by some of the other crap we are often served in this genre.", 6/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",20 October 2015
anwaarulislaam,"This movie is amazingly made The story, comedy and humor with outstanding acting the movie was really awesome and good watch. It shows how the girl managed family values and run the company at the same time.
1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 4/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",17 August 2022
greenjmm,"Decent feel good movie I thought The Intern was a nice feel good movie but it wasn't anything to special I just feel like there are better ones out there and personally I wouldn't want to spend money on this so only watch it if its free to you in some way.
1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",18 July 2021
DanLawson146,"A feel good film done well POSITIVES:

1) Robert DeNiro is fantastic. He is so warm and endearing and this really shows the range of his acting ability 2) The film had me engaged throughout. I was smiling throughout most of the film and then when the emotional moments came I felt them too 3) The character relationships between DeNiro and everyone at About The Fit really do warm the heart. His relationship with Hathaway really is a friendship of equals, but then he also adopts the father figure role to the rest of the interns and seeing them start to dress like him etc was a great touch

NEGATIVES:

1) The score sometimes ventures away from 'feel good' and becomes a bit too 'cooky' for me 2) If I was being really strict, the film could have been more streamlined without the romantic elements. DeNiro's romance and Hathaway's romance ultimately wouldn't affect the film that much if they were taken out 3) A pet hate of mine is when films have driving scenes in which there is a blatant CGI background and the characters are blatantly not actually driving a car", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",28 May 2020
moco-55786,"I got a lot of lessons😌 I've learnt how a gentleman should be.

In the scene of Ben admonishing Matt, That was amazing because he did that without mentioning his affair.

I've also learnt that how to express our feelings and thoughts is really important from the scene that Matt visited her office to apologize for affair.

The point is whether we can impress them or not.
1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 1/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",19 February 2022
alexpeychev,"Excellent. I expected a fun, neat comedy but what I experienced was so much more: a great plot, brilliantly executed and acted. The jokes and fun parts were on point, and the world the movie created felt very authentic, immersive and a joy to watch on the big screen - this was helped by amazing costuming and cinematography.

The entire cast had very strong chemistry between them, and both Hathaway and De Niro were wonderful.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",11 August 2022
jb_campo,"Fun uplifting cross-generational film As a 60 year old guy, I related very well to The Intern. Robert Deniro stars a Ben, a 70 year old widower who wants a job to add something dependable to his life. Ben worked for a telephone book company for 40 years, and he misses that regular rhythm of life. He's got everything organized and set, except he's run out of things to spend his time on.

Enter Jules (Anne Hathaway) as the CEO of a startup clothing company. Her focused disregard to details of her life are startling, but she's so focused on making her company successful that she's unable to pay much attention to the details. In short, she's burning out because she's in a bit too much over her head.

She finally starts noticing Ben, who gets hired as an intern to connect with older folks, and Ben has a lot to offer because of his strong experience. Ben can relate to everyone, young, middle, older aged folks. He's your prototypical nice guy. It gets hilarious to see some of his interactions with his colleagues, and how he starts having everyone's back because he so has his stuff together.

Can he find fulfillment? Can he find new love? Can he save Jules from herself? Go see the movie to discover if all this is possible.

My only complaint is casting in the form of Jules' husband. They chose Andres Holm, whom I never heard of. His looks didn't match what I would imagine a match for Hathaway as. His acting was not strong enough, nor believable enough. Otherwise, very strong performances from the other stars.

The Intern should leave you smiling and hopeful. I hope you enjoy this film.", 10/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7 May 2017
FallenEye,"ATF is Ready to Explode. Ben may have told Jules that she had something many people don't, that is big beautiful and exciting, and though he is right, what he has however, is something way bigger and far more satisfying; Ben had a full life, and that, is something even less people will ever get to experience.

The Intern isn't perfect; some parts of it were abandoned without conclusions and nicely tied bows, while others were a bit out of balance with the message this film was trying to bring across, but ultimately at its heart, The Intern beats strong enough to incite warm and stirring emotion.

This film is funny, it's fun, it's interesting and the chemistry between its stars were well worth the watch. Anne and Robert were great and Nancy Meyers is really proving herself to be quite a fascinating story teller of love, life and its complications.

The main characters were pleasantly presented and well handled, while the core of the story still managed to shine through, and not only is that important, but it also demonstrates talent. Again, The Intern isn't perfect, but it is solid. 7.1/10.", 5/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7 April 2018
thindi31,"One of the best of 2015 I was expecting a good movie. It is DeNiro after all! But I did not expect to be as entertained and delighted as I was. It was cleverly written, dialogue that was perfect for the setting and the ages of the stars. The movie told a real story and didn't sensationalize by violence, sex or foul language. As a newly retired person I was definitely able to relate but the story of the young folks starting out in their careers is something other age groups in the audience can relate to. It was poignant at times. I laughed. I cried. I cheered, well inside my head. The outstanding performance of the newcomer, little Paige, shows us we will be seeing much more of her. She is adorable as a movie child should be but really talented. What a little treasure. There is much about relationship in this movie..between workers, lovers, friends, with yourself. They were real people and someone each viewer can relate to. Be ready to belly laugh, weep a little, cheer for a favorite character, chuckle and be glad you saw it! I highly recommend it.
2 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"2 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink",5 October 2015
jpholroyd,"A terrible movie, not even rescued by good actors It is rare I feel strongly enough to write a review, but the fact that this movie gets a 7.2 makes me want to vent my frustration. How it gets such a high rating makes me very suspicious of IMDb. The movie is weak, a very poor story line after the first 30 mins. Also a massive amount of advertising, a cynic would conclude the money involved in this movie 'helps' with the rating. The husband is the movie is very poorly cast, and Rene Russo it totally wasted in a cameo role. The only reason this doesn't get a 1 star is down to De Niro and Hathaway. I'm not sure they need to be doing this sort of film, are times that hard? This could have been so much better. It's not.", 8/10,"2 out of 4 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 March 2016
csm-78119,"Just a little too twee Anne Hathaway and Robert De Niro do their best and there are some decent laughs from time to time but overall it doesn't hang together with any real substance or credibility. The best bits are the Interns interactions with his co- workers. It might give you a semi pleasant distraction for a while if you don't really think about it.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",17 October 2021
sbwords,"What is De Niro doing in this movie? The Intern - A Movie Review.

Robert De Niro's place in the Parthenon of great movie stars would be secure if his career played in reverse; starting with 'The Intern' moving through 'Meet the Parents', 'Analyze That', 'Heat', 'Raging Bull', 'Goodfellas', 'Casino', 'Taxi Driver', 'Godfather II' and 'Mean Streets' to name but a few of his roles. Unfortunately, we can't reverse time, so now face the threat of his place being lost by an appearance in 'The Intern'.

I'm not going to bother with a spoiler alert, because the plot of this film is so predictable you could see everything that was coming; nice soft-spoken retired widowed guy works for nasty dot-com business bitch-lady, who has cheating mister mum house-husband and beautiful daughter. He helps save the business, gives everyone advice on relationships, hooks up with the firms hot, but mature, in-house masseuse, whilst introducing all the nerdy geek guys around him to the benefits of carrying a handkerchief.

Now, don't get me wrong. De Niro acts well and is engaging in the role. There is even a small homage to 'Taxi Driver' as he repeatedly practices eye-blinking in front of a mirror ""You looking at me"" style. However, what is the man who manifested Travis Bickle, gave us a young Vito Corleone and channeled Jimmy Conway, doing in this formulaic fluff of a movie. I was prepared to forgive him for 'Meet the Parents' because it was mildly funny, although 'Meet the Fockers' stretched that forgiveness to near breaking point. With 'The Intern' I can only assume he needs the money or is fulfilling some hidden contractual obligation. Either way we can only hope for a return to more gritty roles, although his next release entitled 'Dirty Grandpa' suggests otherwise.", 7/10,"2 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink",24 October 2015
feae-72598,"The Intern The Intern is nice movie I've ever seen. This movie tells that working is full of enjoyment. The title of this movie says 'Experiences never get old'. I think this words push people who feel difficulty or anxiety with job. 70 years old man helps his boss many times, but he doesn't show off his talent. Although it is different from real world, its position like him gives hope for young worker. And this film show that difficulties of living with partner or family comfortably. For men, women should work in house harder than at office. I can read the fact by watching The Intern. This film has many aspects about life for example, work, marriage and raising baby. I recommend The Inten for people who does not start working.
1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"1 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",27 July 2016
jmoneyjohal,"A classy mature, feel good film, full of laughs and heart warming moments. D'Niro and Hathaway have amazing chemistry. Being a gentleman, having true class, women empowerment, how life doesn't end after a certain age and how to deal with real life relationships are all things a film like The Intern deals with. The Intern is the definition of feel good cinema, I can guarantee you that throughout the film you will be smiling, and there so many instances the film is just so heart touching.But what really works for the film is the lead cast of Robert D'Niro who is only getting better with age, and Anne Hathaway who is epitome of really beauty. There chemistry is just perfect.

Story wise the film talks about a 70 year old man named Ben, he is officially retired, and is a widower. After traveling the globe for awhile, he is back home and hates thinking about living at home all day,so he keeps himself busy all the time, sometimes he goes to visit his kids, or goes to starbucks etc. Until one day he learns of a opportunity to become a senior Intern at a online fashion company, and he pounces at the opportunity. He eventually gets the job, and meets the owner of the company Jules. Jules is a young but busy women running a company by herself, and she has a family which her stay at home husband runs. How the not so tech savy senior intern Ben comes into Jules's life and helps her in her journey is what the film is about.

Acting wise, I must say Robert D'Niro steals the show, his character is so well written, and he embodies the traits of being a classy gentleman wonderfully. Anne Hathaway looks so beautiful, but more importantly gives a superb,mature act.The rest of supporting cast has done a great job, and is casted perfectly.

The Intern is a movie made for a mature audience, and while the film has many laughs, the films undertone meanings are what really win your heart. I truly loved how the film dealt with the message of women empowerment in such a fresh but beautiful way. And one of the films major assets was how the character of Robert D'Niro was written, how even after being 70 he is still enjoying his life to the fullest, and how he is a true gentleman. I mean for me the film really didn't have any negatives other than the place slackened a bit towards the end

Overall The Intern is not a pathbreaking film, but the film truly lived up to its amazing trailer.Its nice to see a film deal with real life situations, in a beautiful, light manner and not be so serious and sad. Its a film I throughly enjoyed without any hiccups, and its a film I highly recommend, you get your tickets worth in just seeing the chemistry between D'Niro and Hathaway.

3.5/5* or 7.5/10", 5/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 September 2015
crimesact,"Watch it if you think Snow White is a real story I'm sure a lot of people will feel good watching it but in the real world it's just not realistic.

Will make people who want that I want to be in love feeling and the I want that life Hathaway has will certainly like the movie.

Truth is life is mean and more like a Rocky Balboa movie where you get knocked down by life itself but you have to get back up and fight to get any recognition in the world.

5 minutes in and I forced myself to watch the rest of the movie. Painful and predictable. Good luck to those who rated it higher than 2. As it seems to be a rip off of the Devil wears Prada with a lot less aggression.
1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",29 April 2022
aminifatimaaa,"a heartwarming and wonderful movie Exactly the kind of warm and fizzy comedy one might expect from Nancy Meyers, The Intern is a low-key, enjoyable piece of work with a likable cast. Suitably funny and boasting notes of capable melancholy, the film easily entertains even if its charms are not long-lasting. The Intern is light-weight and enjoyable. With its well-placed leads, handsome aesthetic, and charming sense of self, the film easily appeals. It may not necessarily stand-out, but The Intern makes for a pleasing experience.
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 March 2019
mochiposh,"Excellent Movie This movie is perfectly touching, heart warming and just beautiful in its way. Since his first appearance, Robert De Niro captured my heart. He plays the gentleman we should see much more often in life. Strangely I've never watch any other movie with a ""gentleman"" being played so naturally and believable as he did, now that I think about it.

And my praises go to Anne Hathaway as well, she practically shone in the movie. Her presence made the whole screen glow, I'm star-struck. Her portrays of the character of a successful businesswoman with her struggles (without overdoing it) in balancing family and work issues is so believable, it's just so natural and real and many can connect with.

It's pretty obvious that I love the movie. I can see myself watch it over and over again in the years to come.", 5/10,"3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink",4 October 2015
Zaffy-1,"in a galaxy far far away... In a galaxy far far away... a.k.a. the Intern's universe, everyone is a kind, caring, lovely, wise, good willing, hard working, great person, moral compass, with a permanent smile on his/her face.

Don't get me wrong, I like movies that show the bright side of life and are positive and all, but even in fairy tales there are some dark moments or some kind of villains.

But this movie is flatlined! Everyone is a sweetheart and apparently New Work is a great - sunny - clean city full only with happy pleasant people.

Among them, standouts De Niro's Ben, who is not only a spotless person but apparently some kind of a super hero who at the age of 70 can work long hours, be there for everyone, keep solving all kind of crises while keeping clean and tied up a lovely home and have a relationship with Rene Russo.

Half of the movie, I was honestly expecting the dark secret to be revealed. Ben is an alcoholic? a gambler? he had a dark past? he has some naughty vices? something ? anything? nope.. nope nope... He is just perfect!

I am by nature very optimist and I believe than every person can be a good one, I have been even accused as laughing to much. But even for someone like me, this movie really tested my joy/happiness/utopia limits.

In conclusion, if you want to have a getaway into a world where people apparently only die from happiness and joy, you will love this movie.", 6/10,"1 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 December 2015
leonmessyb,"Heartwarming film I really enjoyed this film. I like the concept and it is definitely something that should be done more to keep older people feeling connected to society and not alone. It was a really heart warming film and I really liked the development of the relationships in this film. Definitely worth a watch!!
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 6/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",12 April 2022
silmarieni,"A very good film I enjoyed every minute of this well made and very well acted film. The script, while not earth-shattering in originality and surprise, is tight and solid, with a little additional je ne sais quoi here and there. De Niro delivers a nuanced and wonderful performance, as is Anne Hathaway. He is very believable as an ex top-executive that is very modest and helpful no matter the chore. You feel he has much more to offer to anyone willing to ask for business advices. Hathaway in the same way, I found absolutely believable both as a super-woman-high-energy-startup-founder-and-ceo, and at the same time fragile and at risk of being crushed. She is so charming and so classy. She does not strike me as one of Hollywood's top beauty, but she sure sparks on the big screen and must be a dream for fashion designers, as everything she wears looks outstanding.

The film also benefits from superb supporting actresses/actors such as Rene Russo.

In short, I would recommend this film to anybody wanting to enjoy a good, intelligent story, free of car chases and explosions, but full of nuanced and great performances.", 8/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",11 October 2015
brandnewme-35054,"Loved this movie! First of all, I am a huge Anne Hathaway fan. That said, I loved this movie! The juxtaposition of Robert De Nero with Anne Hathaway is charming as well as surprising. De Nero's character could have been a patronizing know-it-all after 40 years in business but he wasn't. Hathaway's character could have been a patronizing tech-savvy bitch, but she wasn't. Instead, this unlikely duo made things work. My only quibble with the movie was that the main problem of overloaded micromanaging Jules was not fixed, only calmed by Ben's presence. She still is not having a family life, not having enough hours in the day to do all she wants to do. The good-feeling ending was not a solution, only a smiley face band-aid.
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 1/10,"5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7 October 2015
santiagocosme,"As long as there' s De Niro... De Niro really is special. He has deservedly been labeled one of the true greats in cinema history. Of course a movie like ""The intern"" does not do justice to such an amazing actor, but still, it's enough to show that when he wants, ha can also play a role that would considered easy and make it look dead easy.

The movie is not memorable by any means, but it's perfect for a Sunday afternoon. In fact, the reason I am typing this review is because I did not find another similar movie to watch.Yes, there are hundreds of comedies released every year, but very few are catchy enough to get your attention. Maybe, it was the name of the movie that did it, for me, I'll just say this: please give De Niro more movies to act on.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",14 February 2016
bt698nhj,"Strong 7 I'm very close to the prestigious 8 on this one.

De Niro was outstanding. The movie moved us in uniquely 2015-era ways: old-school businessman endorses young working woman's career and becomes her confidant both personally and professionally; working woman deals with stay-at-home dad's infidelity. And older widower finds meaning and potential love in retirement and singleness.

The movie clearly tugs at our heartstrings and we willingly go along. The theme music was taken from a dozen similar movies, but gave it a vintage feel and served the movie well. The last 2 minutes were odd. It's hard to end a book or a movie well.

About my reviews: I do not offer a synopsis of the film -- you can get that anywhere and that does not constitute a meaningful review -- but rather my thoughts and feelings on the film that hopefully will be informative to you in deciding whether to invest 90-180 minutes of your life on it.

My scale: 1-5 decreasing degrees of ""terrible"", with 5 being ""mediocre"" 6- OK. Generally held my interest OR had reasonable cast and/or cinematography, might watch it again 7 - Good. My default rating for a movie I liked enough to watch again, but didn't rise to the upper echelons 8- Very Good. Would watch again and recommend to others 9- Outstanding. Would watch over and over; top 10% of my ratings 10 - A Classic. (Less than 2% receive this rating).", 2/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",15 February 2017
brooksrob1,"Ambivalent I went into this movie blind...I had no idea or expectations, just killing some time. You figure Bobby has rarely let you down so; what the hey? I read the first few reviews of the ""loved it"" sect and then went to the ""hated it"" section...The Hate it section was hilarious! Watching them come up with analogies, which were not as cliché as the movie, thus destroying most of their points was stimulating!

Those that loved it, I can see why...It's a nice safe story and filled with decent people...Nothing untoward...

On to the movie...

I give a 5 because it had some heart but...Just enough heart to give you that ""meh"" feeling. It seemed miscast for some reason...The daughter too precocious, the business woman too driven; the husband (blech, what a nudge!) Bobby, consummate pro, although his face always seems to be frozen in that ""You talking to me?"" grimace...This would make a great TV series on like; TBS. They could flesh it out some more...

If I had a list of 1000 decent movies; This would be about 931 on the list.", 5/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 June 2016
Motion-Picture-Watchmen,"I just know there's a hole in my life and I need to fill it. This film is obviously not a flawless, riveting masterpiece. But sometimes, movies should be straightforward, light-hearted and sympathetic without having deeper, mature themes.

Subjectively, I simply adored the basic premise of a widower filling the void in his life and showing the new generation of the old one how to do things. Add to that that the movie is set in New York, which I always appreciate.

Robert De Niro is brilliant as a thoroughly likable and gentle intern.

I liked it. It was a pleasant surprise.

On a more trivial note, how unconventional is it that Quentin Tarantino named this movie one of his favorites of the year it came out?
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",30 March 2022
urema-1,"Read the synopsis and you'll have seen the film I was hoping for something more risky, but what I got is a paint-by-numbers feel good comedy. It tried to have more carnal humour (happy ending massage part etc.) but they fell short as it was not in tone with the rest of the film. If you read the synopsis of the film, you pretty much get the gist of what is to come. Generation v generation jokes and dilemmas, stereotyping all old people as useless etc.

Nothing special or new - just a feel good film where both protagonists learn and grow.

The issue I had with it the most was that everyone was so understanding and picture perfect. Perfect speech. Perfect responses to crises in their lives (you know, when your husband is having an affair this is an opportunity for you to be level-headed and learn something about yourself). Perfect clothes. Perfect teeth. Etc., etc. A bit too polished everywhere.

Tonnes of product placements - helps with boosting that profit margin.

In my mind it could have been way shorter, and thus more effective, more punchy.

There were moments that it was touching or well acted etc., but overall it was nothing special. The tone felt like a TV movie you'd see on Sundays' at your grandmothers, somehow backed with a big budget.

Nothing much to see here, unless you want to run it on in the background whilst making Sunday dinner.", 5/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",13 October 2023
chappywatched,"Chappy Watched: The Intern I hadn't really heard much about this film or really seen any trailers but there wasn't a lot on to choose from so we thought we'd try this.

How bad can it be? It Robert De Niro and Anne Hathaway!

It's not bad at all! This film was a complete surprise and even made it's way into my Top 10 for 2015!

It's well written with the laughs and the drama flowing beautifully together as well as seeing the generational differences between the two leads.

Speaking of Robert De Niro and Anne Hathaway; they are brilliant together as well as with the rest of the awesome supporting cast members.

There's plenty of drama, romance, laughs and just plain entertainment to be had with this film.

But

I'm not a fan of the ending, it feels like maybe there wasn't a clear idea on how to end it and it felt rushed.

A great film to watch, even if you don't happen to be a fan of any of the cast or even have any idea of what the film is about.

CHAPPY THINKS any place that gives their staff free massages is worth not getting paid!", 8/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",24 March 2016
heatherworkmanrios,"Cliché and boring I wasn't a fan. Fell asleep multiple times. Lots of clichés, bad child actor (sorry, but im just being honest). The husband portrays all the stereotypes of a stay at home mom/wife which just made me cringe. Doesn't acknowledge the misogyny that causes these stereotypes to happen.

Robert Dinero is great but the character's quirks are tiring after about 10 minutes.
1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"1 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10 November 2021
xiaohei-80112,"Charisma of Robert de niro While seeing the trailer at first ,thought ending Anne Hathaway will have a romance with Robert de niro after her husband cheating.its my wishful part of thinking cause Robert De Niro show the right attitude and charisma in the workplace that every women will like him.too bad it's didn't happen.Overall, It's a fast pace movie that I find it's happen too fast that I haven't recover from my first feeling then come another one.wish it's will be better if add another 30min of it.
0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 2/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",27 October 2019
ForTheMostPart1999,"A heartwarming-style comedy drama A man finds his true passion after his retirement from a phonebook printing company despite his passed-away wife included. Finding out how stressful his female boss can get, he does what he can do to stabilize her, with his older age thus his longer life experience. While there was certainly a least an average amount of laughter, I would consider this more of a drama (a nice one in fact). There was certainly a lot of hype during the e-mail crisis scene, thus making the film more interesting and almost forcing people to pay attention to it again if ever the problem. It's basically a satisfying relaxing comedy with a catching plot. Fairly decent overall.
0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"0 out of 0 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8 November 2022
AnishMisra,"The Intern Review The Intern is a film written and directed by Nancy Meyers. I had just heard about the film being a good one. I saw no trailers so I didn't know what to expect out of it. After the film finished, I was satisfied. It's basically a slice of life kind of film.

Plot: Ben Whittaker, a 70 year old, joins as an intern to Jules Ostin in an online fashion company.

Story and Direction: The story is quite simple. We have a man, old and alone, having to do nothing basically, joining as an intern to just make himself busy. Now that's something an old man always faces which is very beautifully shown here. Then we have a contrasting character like Jules, who is very busy and doesn't have the time for almost anything (today's working women). Both of these characters are balanced quite nicely. We also have certain characters of the office which are quite enjoyable. Also we get a sneak peek into Jules' home where she has a husband and daughter, for who she feels she is giving less time due to her job. The most of the story is perfect. I had issues with some things. Like Fiona the massage therapist. Although the character was very little, but still, trying to make Ben and Fiona a pair was kind of making the story go off track. Another thing was the office people helping Jules in one scene of a mistake made by her. I mean, don't we say we should keep our personal and professional lives separate.

Performances: Robert De Niro is a great actor and its always a joy to see him. Anne Hathaway was also good as the working woman Jules. Rene Russo as the therapist was also good in her small role. Adam DeVine as Jason was good in his comic portions. Zack Perlman and Jason Owley were good too as Ben's colleagues. Anders Holm had a sincerity in his role.

Favorite Scene: I guess it would be where Jules helps Ben open up a Facebook account. And Ben in turn tells Jules about his work. This was basically where I felt the essence of the film lied. The older and newer generation sitting and talking and sharing ideas.

Verdict: I had a great time with The Intern. It was a good film. Robert and Anne were great in their roles. Although a few missteps, but the film is still watchable.

I am giving it an 8/10.", 8/10,"0 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",31 May 2017
